userName,content,reviewCreatedVersion
DAMAS ANDREAN,"['', 'baik', 'mamang', 'akun', 'akses', 'kendara', 'data', 'diinputkan', '', 'ubah', 'barcode', 'gara', 'gara', 'kendara', 'akun', 'akses', 'kendaraa', 'inputkan', 'tolak', '', 'fitur', 'tambah', 'data', 'kendara', 'memberikansolusidenganmenambahmasalah']",3.7.3
Easy Live,"['point', 'baik', 'aplikasi', 'pop', 'up', 'iklan', 'info', 'buka', 'notifikasi', 'mending', 'hilang', 'ga', 'pantes', 'banget', 'fungsi', 'aplikasi', 'tab', 'event', 'promo', 'auto', 'log', 'out', 'kyknya', 'segi', 'secure', 'oke', 'jarak', 'mending', 'bikin', 'point', 'baik', 'spbu', 'layar', 'unit', 'mesin', 'diredupin', 'banget', 'sampe', 'kadang', 'susah', 'scan', 'qr', 'code', 'spbu', 'pake', 'aplikasi', 'pas', 'kesana', 'ga', 'operasi', 'ga', 'alas']",3.7.3
432372as,"['lambat', 'login', 'ulang', 'tata', 'letak', 'tombol', 'kolom', 'bagan', 'isi', 'interface', 'beranta', 'kurang', 'atur', 'struktur', '', 'fokus', '', 'user', 'friendly', 'klaim', '', 'tutorial', 'klaim', '', 'guna', '', 'baca', '', 'fungsional', 'estetika', '', 'tempat', 'popup', '', 'fokus', 'fungsi', 'aplikasi', 'lambat', 'alur', 'isi', 'bbm', 'minimal', 'fungsi', 'aplikasi', 'sesuai', 'tuju', 'utama']",3.7.3
ani arifah,"['aju', 'subsidi', 'data', 'input', '', 'kosong', 'klik', 'data', 'warning', 'nomor', 'rangka', 'kendara', 'diinput', 'aplikasi', 'download', 'mypertamina', 'klik', 'subsidi', 'muncul', 'layar', 'putih']",3.7.1
Achmad Lutvi,"['aplikasi', '', 'daftar', 'chrome', 'kerj', 'supir', 'aplikasi', 'mudah', 'maklum', 'tua', 'gaptek', 'susah', 'guna', '', 'efisien', 'buruk', 'parah', 'susah', 'tua', 'baik']",3.7.3
Yudi Novianto,"['aplikasi', '', 'trlalu', 'masalah', 'isi', 'bahan', 'bakar', 'isi', 'pom', 'bensin', '', 'sedia', 'isi', 'non', 'tunai', 'layan', 'non', 'tunai', 'itu', 'sering', 'alami', 'ganggu', 'jaring', 'versi', 'karyawannya', 'aplikasi', '', 'pakai', 'tunai']",3.7.3
haikal al hafizd,"['baik', 'kadang', 'muncul', 'error', 'restart', 'hp', 'koneksi', 'lepas', 'login', 'ulang', 'centang', 'opsi', 'password', 'proses', 'alih', 'halaman', 'link', 'isi', 'sekitar', 'jam', 'pagi', 'malam', 'gambar', 'durasi', 'isi', 'motor', 'pakai', 'mypertamina', 'durasi', 'isi', 'motor', 'cash', 'pagi', 'sore', 'motor', 'cash', 'malam', 'jam']",3.7.3
MAHANGGA CELL,"['terap', 'app', 'pertamina', 'paksa', 'tambah', 'ribet', 'isi', 'bbm', 'aplikasi', 'bug', 'contoh', 'data', 'aprove', 'bbm', 'subsidi', 'login', 'password', 'claim', 'email', 'data', 'aprove', 'password', 'tahu', 'sistem', 'cocok', 'untk', 'indonesia']",3.7.3
Raka M.R.,"['ui', 'ux', 'kurang', 'user', 'friendly', 'awam', 'rumit', 'registrasi', 'pas', 'daftar', 'aplikasi', 'akun', 'data', 'subsidi', 'password', 'pass', 'gak', 'passwordnya', 'tua', 'awam', 'bingung', 'ngisinya', 'rumit', 'anak', 'muda', 'fine', 'kesel', 'trs', 'suka', 'logout', 'biar', 'aman', 'ribet', 'gin', '', 'timbang', 'masuk']",3.7.3
Euneke YW,"['isi', 'data', 'kendara', '', 'merek', 'kendara', 'batas', 'opsi', 'kendara', 'merek', '', 'opsi', 'merek', 'serta', 'kolom', 'kosong', 'user', 'isi', 'merek', 'kendara', '', 'pilih', 'merek', 'muncul']",3.7.3
SGRYD Family,"['verifikasi', 'pas', 'ganti', 'password', 'data', 'verifikasi', 'hilang', 'foto', 'sntk', 'foto', 'kendara', 'gak', 'sesuai', '', 'rubah', 'foto', 'harus', 'verifikasi', 'harap', 'baik', 'biar', 'konsumen', 'puas']",3.7.3
yusuf najmuddin,"['', 'hubung', 'link', 'coba', 'kali', 'coba', 'tulis', 'koneksi', 'gagal', 'coba', 'aplikasi', 'link', 'akun', 'aktif', 'saldo', '', 'hubung']",3.7.3
laily romi furqon,"['daftar', 'hp', 'daftar', 'daftar', 'gilir', 'coba', 'gagal', 'coba', 'ganti', 'laha', 'muncul', 'daftar', 'solusi', 'inti', 'lambat', 'cepat', 'tetep', 'lambat', 'pake', 'aplikasi', 'error', 'error']",3.7.3
aBox Vengeance,"['point', 'baik', 'aplikasi', 'inovasi', 'efektivitas', 'pertamina', 'login', 'lambat', 'tolerir', 'karna', 'jaring', 'kuat', 'pake', 'aplikasi', 'mutakhir', 'aktivasi', 'all', 'wallet', 'link', 'ga', 'daftar', 'ribet', 'nilai', 'pertamakali', 'donload', 'thnx']",3.7.3
Faruq M M,"['cek', 'app', 'adasihh', 'spbu', 'support', 'kadang', '', 'pegawai', 'kadang', 'mobil', 'doang', 'kadang', 'rusak', 'layan', 'pakai', 'pake', 'sempurna', 'makassar', 'tambahin', 'bintang']",3.7.0
Lis Handoyo S,"['usul', 'aplikasi', 'sperti', 'shopie', 'gujek', 'mudah', 'familiar', 'mypertamina', 'tiga', 'jembatan', 'beli', 'spbu', 'beli', '', 'tentu', 'pilih', 'sen', 'bayar', 'sesuai', '', 'isi', 'bbm', 'bayar', 'gopay', 'ovo', 'link', 'mbanking', 'shopi', 'pay', 'tunai', 'spbu', 'barcode', 'tinggal', 'scan', 'spbu', 'tinggal', 'isi']",3.7.3
Ruri Indra Irwansyah,"['gak', 'butuh', 'sebenernya', 'males', 'pake', 'aplikasi', 'jengkel', '', 'bantu', 'log', 'bolak', 'masuk', 'nik', 'pasword', 'trs', 'gak', 'otomatis', 'ngisi', 'kode', 'verifikasi', 'email', 'buka', 'aplikasi', 'email', 'trs', 'pertamina', 'refresh', 'login', 'ganti', 'kode', 'verifikasi', 'sungguh', 'aplikasi', 'konyol', 'bin', 'jengkel']",3.7.3
Bintara Bintang Jangkar Samudra,"['barcode', 'gak', 'buka', 'habis', 'upgrade', 'parah', 'beli', 'bbm', 'pake', 'barkode', 'aplikasi', 'gak', 'buka', 'gak', 'suruh', 'pake', 'barcode', 'ribet', 'pake', 'brcode', 'gak', 'ngantri', 'baget']",3.7.1
dandi pratama,"['aplikasi', 'lambat', 'mintak', 'daftarin', 'kendara', 'pas', 'daftar', 'upload', 'ktp', 'upload', 'foto', 'aplikasi', 'crash', 'hp', 'masalah', 'pake', 'rog', 'baik', 'aplikasi', 'mypertamina', 'suruh', 'daftar', '', 'puas', 'terimakasih']",3.7.3
